"term","category","topic"
"emerging_market","Hawkish Keyword","Global"
"emerging_markets","Hawkish Keyword","Global"
"europe","Hawkish Keyword","Global"
"european","Hawkish Keyword","Global"
"european_central_bank","Hawkish Keyword","Global"
"export","Hawkish Keyword","Global"
"export_growth","Hawkish Keyword","Global"
"exports","Hawkish Keyword","Global"
"exports_growth","Hawkish Keyword","Global"
"federal_reserve","Hawkish Keyword","Global"
"global","Hawkish Keyword","Global"
"global_economic","Hawkish Keyword","Global"
"global_economic_activity","Hawkish Keyword","Global"
"global_economic_growth","Hawkish Keyword","Global"
"global_economy","Hawkish Keyword","Global"
"global_growth","Hawkish Keyword","Global"
"global_outlook","Hawkish Keyword","Global"
"global_recovery","Hawkish Keyword","Global"
"international","Hawkish Keyword","Global"
"international_growth","Hawkish Keyword","Global"
"japan","Hawkish Keyword","Global"
"japanese","Hawkish Keyword","Global"
"net_exports","Hawkish Keyword","Global"
"trade","Hawkish Keyword","Global"
"trading_partners","Hawkish Keyword","Global"
"united_states","Hawkish Keyword","Global"
"us_rates","Hawkish Keyword","Global"
"usa","Hawkish Keyword","Global"
"world_economic_activity","Hawkish Keyword","Global"
"world_economic_growth","Hawkish Keyword","Global"
"world_economy","Hawkish Keyword","Global"
"world_growth","Hawkish Keyword","Global"
"confidence","Hawkish Keyword","Other"
"housing","Hawkish Keyword","Other"
"housing_market","Hawkish Keyword","Other"
"sentiment","Hawkish Keyword","Other"
"surplus","Hawkish Keyword","Other"
"vaccination","Hawkish Keyword","Other"
"vaccinations","Hawkish Keyword","Other"
"vaccine","Hawkish Keyword","Other"
"vaccines","Hawkish Keyword","Other"
"monetary_easing","Dovish Keyword","Policy"
"monetary_easing_cycle","Dovish Keyword","Policy"
"monetary_stimulus","Dovish Keyword","Policy"
"stimulus","Dovish Keyword","Policy"
"economic_activity_contraction","Dovish Keyword","Growth"
"economic_contraction","Dovish Keyword","Growth"
"economic_slack","Dovish Keyword","Growth"
"economic_uncertainty","Dovish Keyword","Growth"
"gdp_decline","Dovish Keyword","Growth"
"household_saving","Dovish Keyword","Growth"
"household_savings","Dovish Keyword","Growth"
"idleness","Dovish Keyword","Growth"
"precautionary_saving","Dovish Keyword","Growth"
"precautionary_savings","Dovish Keyword","Growth"
"recession","Dovish Keyword","Growth"
"saving","Dovish Keyword","Growth"
"savings","Dovish Keyword","Growth"
"slack","Dovish Keyword","Growth"
"spare_capacity","Dovish Keyword","Growth"
"uncertainty_about_economic_growth","Dovish Keyword","Growth"
"unemployed","Dovish Keyword","Growth"
"unemployment","Dovish Keyword","Growth"
"unemployment_rate","Dovish Keyword","Growth"
"unemployment_rates","Dovish Keyword","Growth"
"deflation","Dovish Keyword","Prices"
"deflationary_risk","Dovish Keyword","Prices"
"deflationary_risks","Dovish Keyword","Prices"
"disinflation","Dovish Keyword","Prices"
"disinflationary_risk","Dovish Keyword","Prices"
"disinflationary_risks","Dovish Keyword","Prices"
"expected_deflation","Dovish Keyword","Prices"
"expected_disinflation","Dovish Keyword","Prices"
"financial_crisis","Dovish Keywords","Finance"
"financial_instability","Dovish Keywords","Finance"
"financial_uncertainty","Dovish Keywords","Finance"
"financial_volatility","Dovish Keywords","Finance"
"market_volatility","Dovish Keywords","Finance"
"geopolitical_risks","Dovish Keyword","Global"
"import","Dovish Keyword","Global"
"import_growth","Dovish Keyword","Global"
"imports","Dovish Keyword","Global"
"imports_growth","Dovish Keyword","Global"
"net_imports","Dovish Keyword","Global"
"coronavirus","Dovish Keyword","Other"
"covid","Dovish Keyword","Other"
"covid_19","Dovish Keyword","Other"
"covid19","Dovish Keyword","Other"
"deficit","Dovish Keyword","Other"
"epidemic","Dovish Keyword","Other"
"infections","Dovish Keyword","Other"
"instability","Dovish Keyword","Other"
"lockdown","Dovish Keyword","Other"
"lockdowns","Dovish Keyword","Other"
"pandemic","Dovish Keyword","Other"
"risk","Dovish Keyword","Other"
"risks","Dovish Keyword","Other"
"tax_rates","Dovish Keyword","Other"
"uncertainty","Dovish Keyword","Other"
"variance","Dovish Keyword","Other"
"vat_rates","Dovish Keyword","Other"
"volatility","Dovish Keyword","Other"
"all_of_the_above","Neutral Phrase",""
"at_least","Neutral Phrase",""
"best_practice","Neutral Phrase",""
"best_practices","Neutral Phrase",""
"committee_stresses_that","Neutral Phrase",""
"forward_contracts","Neutral Phrase",""
"greater_focus","Neutral Phrase",""
"greater_transparency","Neutral Phrase",""
"high_frequency","Neutral Phrase",""
"high_quality","Neutral Phrase",""
"high_yield","Neutral Phrase",""
"higher_frequency","Neutral Phrase",""
"increasing_weight","Neutral Phrase",""
"more_detail","Neutral Phrase",""
"more_or_less","Neutral Phrase",""
"more_timely","Neutral Phrase",""
"rate_of_change","Neutral Phrase",""
"rates_of_change","Neutral Phrase",""
